category,gender,name,model_num,size,amount,link
bag,E,Pocket Arm Band Plus,pocket-arm-band,free,5,https://www.nike.com/t/pocket-arm-band-plus-8kZwkQ/N0001245-082
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-s,S,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-m,M,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-l,L,3,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
bottom,E,Nike Dri-FIT Academy,nike-dri-fit-academy-xl,XL,2,https://www.nike.com/t/dri-fit-academy-mens-dri-fit-soccer-shorts-nwP0Hq/DV9742-410
top,E,Nike Dri-FIT Legend,nike-dri-fit-legend-s,S,3,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,E,Nike Dri-FIT Legend,nike-dri-fit-legend-m,M,2,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,E,Nike Dri-FIT Legend,nike-dri-fit-legend-l,L,4,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
top,E,Nike Dri-FIT Legend,nike-dri-fit-legend-xl,XL,1,https://www.nike.com/t/dri-fit-legend-mens-fitness-t-shirt-JmKL0d/DX0989-302
shoes,E,Nike Revolution 7,nike-revolution-7-240,240,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-245,245,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-250,250,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-255,255,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-260,260,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-265,265,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-270,270,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401
shoes,E,Nike Revolution 7,nike-revolution-7-275,275,2,https://www.nike.com/t/revolution-7-mens-road-running-shoes-72BvdH/FB2207-401